ntaxa,rep,ils,ngt,m,avg_gtee,norm_output_error,output_hwcd
100,16,low,1000,20,0.036448979591836926,0.037037037037037035,8.0
100,19,high,100,20,0.5154081632653064,0.09523809523809523,20.0
100,14,low,1000,20,0.03429591836734699,0.009009009009009009,2.0
100,5,high,3000,20,0.38509523809524665,0.00980392156862745,2.0
100,19,high,1000,20,0.5102959183673466,0.02857142857142857,6.0
100,20,high,1000,20,0.3811326530612254,0.10810810810810811,24.0
100,19,low,100,20,0.03438775510204081,0.0,0.0
100,2,high,3000,20,0.5743401360544278,0.2601626016260163,64.0
100,3,high,3000,20,0.5408265306122492,0.01904761904761905,4.0
100,13,high,100,20,0.5551020408163267,0.14705882352941177,30.0
100,16,high,100,10,0.3794897959183672,0.2037037037037037,44.0
50,12,high,100,10,0.3520833333333333,0.15517241379310345,18.0
100,2,low,100,10,0.030918367346938744,0.14634146341463414,36.0
100,16,high,100,20,0.39,0.12962962962962962,28.0
100,17,high,1000,20,0.3521632653061217,0.01904761904761905,4.0
200,3,low,100,10,0.04020202020202019,0.07964601769911504,36.0
200,2,low,100,20,0.03328282828282827,0.013100436681222707,6.0
200,5,low,100,20,0.03540404040404038,0.01951219512195122,8.0
200,20,high,3000,20,0.4140757575757611,0.06074766355140187,26.0
200,20,high,3000,20,0.4140757575757611,0.06074766355140187,26.0
200,4,low,100,20,0.03707070707070706,0.03879310344827586,18.0
200,19,high,3000,20,0.5365875420875381,0.07009345794392523,30.0
200,3,low,1000,10,0.037217171717172294,0.05309734513274336,24.0
200,4,high,100,10,0.6384848484848482,0.28879310344827586,134.0
200,5,low,1000,20,0.03520202020202069,0.024390243902439025,10.0
200,3,low,1000,20,0.03680303030303078,0.05309734513274336,24.0
100,18,high,1000,20,0.41359183673469685,0.13157894736842105,30.0
200,4,low,1000,20,0.03678282828282883,0.02586206896551724,12.0
50,6,high,3000,10,0.3223402777777774,0.0,0.0
200,1,high,100,20,0.517878787878788,0.2987551867219917,144.0
100,11,low,1000,20,0.03789795918367357,0.008771929824561403,2.0
200,5,high,100,20,0.4236868686868684,0.09268292682926829,38.0
200,3,low,100,20,0.0358080808080808,0.03982300884955752,18.0
200,5,high,1000,20,0.4238232323232353,0.014634146341463415,6.0
200,20,high,100,20,0.41782828282828277,0.19626168224299065,84.0
200,1,low,100,20,0.03696969696969696,0.04149377593360996,20.0
50,8,low,3000,20,0.037291666666666466,0.017241379310344827,2.0
200,19,high,1000,20,0.5386868686868665,0.07009345794392523,30.0
50,6,high,3000,20,0.3249027777777776,0.057692307692307696,6.0
50,1,high,100,10,0.34729166666666667,0.12727272727272726,14.0
50,1,low,3000,10,0.041409722222221994,0.0,0.0
50,7,low,3000,10,0.029493055555555477,0.0,0.0
50,4,high,3000,20,0.30870138888888843,0.0,0.0
50,3,low,3000,10,0.03388194444444426,0.08620689655172414,10.0
50,8,low,3000,10,0.037340277777777736,0.017241379310344827,2.0
50,5,low,3000,10,0.035895833333333224,0.038461538461538464,4.0
50,4,low,3000,10,0.03844444444444437,0.0,0.0
50,7,high,3000,10,0.37945833333333173,0.057692307692307696,6.0
50,1,high,3000,20,0.3378263888888898,0.12727272727272726,14.0
50,6,low,3000,10,0.031097222222222134,0.0,0.0
50,1,high,3000,10,0.3402291666666659,0.03636363636363636,4.0
50,3,high,3000,10,0.32356944444444485,0.1896551724137931,22.0
50,1,low,100,10,0.042083333333333334,0.0,0.0
50,2,high,100,10,0.34375000000000017,0.22413793103448276,26.0
50,2,high,3000,10,0.35481944444444463,0.10344827586206896,12.0
50,5,high,3000,10,0.3290486111111115,0.0,0.0
50,2,low,1000,10,0.03012499999999993,0.05172413793103448,6.0
50,4,low,100,10,0.04125000000000001,0.0,0.0
50,3,low,100,10,0.030000000000000013,0.06896551724137931,8.0
50,7,high,3000,20,0.38071527777777797,0.09615384615384616,10.0
50,1,low,1000,10,0.04131250000000006,0.0,0.0
50,1,high,1000,20,0.33779166666666643,0.09090909090909091,10.0
50,2,high,1000,10,0.3584791666666669,0.06896551724137931,8.0
50,4,low,1000,10,0.03889583333333336,0.0,0.0
50,5,high,100,10,0.32604166666666673,0.057692307692307696,6.0
50,3,high,3000,20,0.3226875000000003,0.1206896551724138,14.0
50,4,high,100,10,0.30395833333333333,0.0,0.0
50,3,high,100,10,0.3170833333333334,0.13793103448275862,16.0
50,4,high,1000,10,0.3136249999999996,0.0,0.0
50,6,low,100,10,0.028124999999999997,0.0,0.0
50,7,low,1000,10,0.028958333333333294,0.0,0.0
50,7,high,100,10,0.3839583333333333,0.07692307692307693,8.0
50,5,low,1000,10,0.037104166666666674,0.038461538461538464,4.0
50,6,low,1000,10,0.029104166666666643,0.0,0.0
50,4,high,1000,20,0.3125833333333335,0.0,0.0
50,6,high,100,10,0.33770833333333344,0.07692307692307693,8.0
50,8,low,100,10,0.031875,0.05172413793103448,6.0
50,7,low,100,10,0.024375000000000004,0.019230769230769232,2.0
50,5,low,100,10,0.04166666666666665,0.038461538461538464,4.0
50,10,low,1000,10,0.036250000000000046,0.05172413793103448,6.0
50,8,low,1000,10,0.036854166666666646,0.0,0.0
50,5,high,1000,10,0.33197916666666644,0.0,0.0
50,13,low,100,10,0.034583333333333334,0.0,0.0
50,11,low,1000,10,0.03231249999999999,0.0,0.0
50,15,low,100,10,0.04020833333333334,0.04918032786885246,6.0
50,10,low,100,10,0.03333333333333335,0.034482758620689655,4.0
50,11,low,100,10,0.033125000000000016,0.0,0.0
50,13,low,1000,10,0.03545833333333335,0.0,0.0
50,8,high,100,10,0.3364583333333333,0.10344827586206896,12.0
50,13,high,100,10,0.335,0.11538461538461539,12.0
50,9,high,1000,10,0.4812500000000001,0.1206896551724138,14.0
50,7,high,1000,10,0.3800833333333336,0.057692307692307696,6.0
50,8,high,1000,10,0.32760416666666653,0.20689655172413793,24.0
50,10,high,1000,10,0.34343749999999995,0.1724137931034483,20.0
50,9,low,1000,10,0.03497916666666664,0.05172413793103448,6.0
