ntaxa,rep,ils,ngt,m,snaq_runtime_sum,snaq_runtime_serial,inphynet_runtime,nretic_true,nretic_est,rooted_major_hwcd,unrooted_major_hwcd,rooted_hwcd,unrooted_hwcd,rooted_min_greedy_hwcd,unrooted_min_greedy_hwcd,sum_constraint_hwcd,sum_constraint_retics,perfect_infer_unrooted_hwcd,min_unrooted_nj_hwcd,n_constraints,approx_norm_hwcd,min_greedy_approx_norm_hwcd,approx_norm_input_hwcd,approx_norm_nj_hwcd
50,11,high,1000,20,58428.64407849312,4521.7046320438385,10.995746392,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,0.0,0.0,0.0
100,9,low,100,20,72536.50994563103,8851.209804058075,11.815029057,1,1,0,0,0,0,0,0,0,1,0,0,6,0.0,0.0,0.0,0.0
100,9,low,1000,10,8864.204919576645,254.30058884620667,12.732305827,1,1,0,0,6,2,6,2,0,1,2,0,11,0.00980392156862745,0.00980392156862745,0.0,0.0
100,18,low,1000,20,81917.9701230526,9411.377564907074,10.997079656,5,6,2,2,26,16,14,12,16,6,4,4,7,0.07017543859649122,0.05263157894736842,0.1020408163265306,0.02040816326530612
100,9,low,1000,20,39088.68475461006,3595.405289888382,12.588332467,1,1,0,0,2,2,2,2,0,1,0,0,8,0.00980392156862745,0.00980392156862745,0.0,0.0
100,9,high,100,10,8070.915503740311,236.0913999080658,12.382454647,1,1,18,18,24,22,24,22,6,1,16,16,11,0.10784313725490197,0.10784313725490197,0.12388617418798505,0.08163265306122448
100,9,high,100,20,57099.399237155914,5149.893784046173,12.315325602,1,1,26,26,34,32,34,32,20,1,12,16,7,0.1568627450980392,0.1568627450980392,0.20211458077206784,0.08163265306122448
100,10,low,100,20,26705.734875679016,1544.64266705513,12.377249894,3,3,0,0,0,0,0,0,0,3,0,2,8,0.0,0.0,0.01020408163265306,0.01020408163265306
100,10,low,1000,20,42922.58948421478,7491.191241025925,12.354877069,3,3,0,0,0,0,0,0,0,3,0,2,8,0.0,0.0,0.01020408163265306,0.01020408163265306
50,12,high,100,20,27088.848060131073,4338.211236953735,11.573694551,3,3,22,22,38,34,38,34,22,3,10,10,4,0.29310344827586204,0.29310344827586204,0.3333333333333333,0.10416666666666667
100,10,high,100,10,7363.3871014118195,138.49753093719482,12.970663079,3,2,14,14,34,30,28,24,6,2,28,14,13,0.1388888888888889,0.1111111111111111,0.11554621848739496,0.07142857142857142
100,10,high,100,20,72292.10186600685,7659.794998884201,15.253799829,3,3,58,58,76,72,76,72,18,3,12,8,7,0.3333333333333333,0.3333333333333333,0.1419399220362302,0.04081632653061224
100,10,high,1000,20,88534.76829051971,11778.468127965927,12.884329459,3,4,2,2,42,36,34,28,20,4,12,2,7,0.16666666666666666,0.12962962962962962,0.1188997338065661,0.01020408163265306
50,12,low,100,20,42402.331006765366,8351.73736691475,11.98576607,3,3,0,0,20,16,20,16,12,3,2,0,4,0.13793103448275862,0.13793103448275862,0.125,0.0
50,13,low,1000,20,48164.27573776245,7604.294531106949,10.07529376,1,1,0,0,0,0,0,0,0,1,0,2,3,0.0,0.0,0.020833333333333332,0.020833333333333332
50,18,low,100,20,24217.065506458282,3554.4540269374847,12.160922646,1,1,0,0,0,0,0,0,0,1,0,2,4,0.0,0.0,0.020833333333333332,0.020833333333333332
50,18,low,1000,20,20234.69557929039,2268.311986207962,10.99689711,1,1,0,0,0,0,0,0,0,1,0,2,4,0.0,0.0,0.020833333333333332,0.020833333333333332
50,13,high,1000,20,60514.60448765755,9748.170127868652,10.861894526,1,1,0,0,8,6,8,6,6,1,0,0,3,0.057692307692307696,0.057692307692307696,0.06666666666666667,0.0
100,14,low,100,20,83071.95990371704,4666.8728630542755,12.218510386,4,4,0,0,12,12,12,12,4,4,6,2,7,0.05405405405405406,0.05405405405405406,0.03194321206743567,0.01020408163265306
100,13,low,100,20,31752.538444280624,2941.8174839019775,11.037110823,1,1,0,0,0,0,0,0,0,1,0,0,8,0.0,0.0,0.0,0.0
100,20,low,1000,10,21967.98365354538,5067.783635854721,11.886596564,4,4,8,8,2,2,2,2,0,5,2,0,10,0.009009009009009009,0.009009009009009009,0.0,0.0
100,18,high,100,20,92893.0741083622,8212.24526309967,11.937807669,5,6,14,14,50,48,46,36,28,6,22,18,7,0.21052631578947367,0.15789473684210525,0.2346938775510204,0.09183673469387756
