ntaxa,rep,ils,ngt,m,ncores,runtime
50,5,low,100,20,2,7002.242062568665
50,5,low,100,20,3,4961.547554254532
50,5,low,100,20,4,3913.013736486435
50,5,low,100,20,5,3251.3437399864197
50,5,low,100,20,6,2685.231702566147
50,5,low,100,20,7,2357.2897136211395
50,5,low,100,20,8,2171.031606912613
50,5,low,100,20,9,2109.489630460739
50,5,low,100,20,10,2063.904719352722
50,5,low,100,20,11,2052.6586372852325
50,5,low,100,20,12,2027.2412593364716
50,5,low,100,20,13,1998.2442121505737
50,5,low,100,20,14,1961.5807521343231
50,5,low,100,20,15,1945.2489252090454
50,5,low,100,20,16,1928.6610612869263
50,5,low,100,20,17,1863.0005540847778
50,5,low,100,20,18,1863.0005540847778
50,5,low,100,20,19,1863.0005540847778
50,5,low,100,20,20,1863.0005540847778
50,5,low,100,20,21,1863.0005540847778
50,5,low,100,20,22,1863.0005540847778
50,5,low,100,20,23,1863.0005540847778
50,5,low,100,20,24,1863.0005540847778
50,5,low,100,20,25,1863.0005540847778
50,5,low,100,20,26,1863.0005540847778
50,5,low,100,20,27,1863.0005540847778
50,5,low,100,20,28,1863.0005540847778
50,5,low,100,20,29,1863.0005540847778
50,5,low,100,20,30,1863.0005540847778
