ntaxa,rep,ils,m,inphynet_runtime,nretic_true,nretic_est,unrooted_major_hwcd,unrooted_hwcd,min_greedy_hwcd,is_greedy_rooted,min_unrooted_nj_hwcd,misplaced_retics
50,41,low,10,0.007472594,2,2,0.0,0,0,false,0,0
50,41,low,20,0.008250803,2,2,0.0,0,0,false,0,0
50,41,low,30,0.007078849,2,2,0.0,0,0,false,0,0
50,41,high,10,0.021983802,2,2,0.0,0,0,false,0,0
50,41,high,20,0.008704575,2,2,0.0,0,0,false,0,0
50,41,high,30,0.006905515,2,2,0.0,0,0,false,0,0
50,42,low,10,0.006524522,0,0,0.0,0,0,false,0,0
50,42,low,20,0.006366987,0,0,0.0,0,0,false,0,0
50,42,low,30,0.006095562,0,0,0.0,0,0,false,0,0
50,42,high,10,0.006316116,0,0,0.0,0,0,false,0,0
50,42,high,20,0.006076989,0,0,0.0,0,0,false,0,0
50,42,high,30,0.005777757,0,0,0.0,0,0,false,0,0
50,43,low,10,0.006776453,0,0,0.0,0,0,false,0,0
50,43,low,20,0.006655922,0,0,0.0,0,0,false,0,0
50,43,low,30,0.006113471,0,0,0.0,0,0,false,0,0
50,43,high,10,0.006750997,0,0,0.0,0,0,false,0,0
50,43,high,20,0.005980425,0,0,0.0,0,0,false,0,0
50,43,high,30,0.005988058,0,0,0.0,0,0,false,0,0
50,44,low,10,0.007979001,1,1,0.0,0,0,false,0,0
50,44,low,20,0.006911253,1,1,0.0,0,0,false,0,0
50,44,low,30,0.006491707,1,1,0.0,0,0,false,0,0
50,44,high,10,0.008434012,1,1,0.0,0,0,false,0,0
50,44,high,20,0.006921171,1,1,0.0,0,0,false,0,0
50,44,high,30,0.006456811,1,1,0.0,0,0,false,0,0
50,45,low,10,0.006830965,1,1,0.0,0,0,false,0,0
50,45,low,20,0.006108786,1,1,0.0,0,0,false,0,0
50,45,low,30,0.006716678,1,1,0.0,0,0,false,0,0
50,45,high,10,0.00674762,1,1,0.0,0,0,false,0,0
50,45,high,20,0.006141115,1,1,0.0,0,0,false,0,0
50,45,high,30,0.006161825,1,1,0.0,0,0,false,0,0
50,46,low,10,0.007042988,1,1,0.0,0,0,false,0,0
50,46,low,20,0.006189624,1,1,0.0,0,0,false,0,0
50,46,low,30,0.006085945,1,1,0.0,0,0,false,0,0
50,46,high,10,0.006557841,1,1,0.0,0,0,false,0,0
50,46,high,20,0.006222633,1,1,0.0,0,0,false,0,0
50,46,high,30,0.006292974,1,1,0.0,0,0,false,0,0
50,47,low,10,0.007181729,1,1,0.0,0,0,false,0,0
50,47,low,20,0.006984846,1,1,0.0,0,0,false,0,0
50,47,low,30,0.007072555,1,1,0.0,0,0,false,0,0
50,47,high,10,0.007358252,1,1,0.0,0,0,false,0,0
50,47,high,20,0.007204382,1,1,0.0,0,0,false,0,0
50,47,high,30,0.020057886,1,1,0.0,0,0,false,0,0
50,48,low,10,0.008826276,1,1,0.0,0,0,false,0,0
50,48,low,20,0.008230882,1,1,0.0,0,0,false,0,0
50,48,low,30,0.007166077,1,1,0.0,0,0,false,0,0
50,48,high,10,0.008969883,1,1,0.0,0,0,false,0,0
50,48,high,20,0.008588415,1,1,0.0,0,0,false,0,0
50,48,high,30,0.006584386,1,1,0.0,0,0,false,0,0
50,49,low,10,0.00892957,2,2,0.0,0,0,false,0,0
50,49,low,20,0.00721903,2,2,0.0,0,0,false,0,0
50,49,low,30,0.007419266,2,2,0.0,0,0,false,0,0
50,49,high,10,0.008587836,2,2,0.0,0,0,false,0,0
50,49,high,20,0.007649815,2,2,0.0,0,0,false,0,0
50,49,high,30,0.007448095,2,2,0.0,0,0,false,0,0
50,50,low,10,0.006735327,0,0,0.0,0,0,false,0,0
50,50,low,20,0.006313656,0,0,0.0,0,0,false,0,0
50,50,low,30,0.006361212,0,0,0.0,0,0,false,0,0
50,50,high,10,0.006608791,0,0,0.0,0,0,false,0,0
50,50,high,20,0.006314367,0,0,0.0,0,0,false,0,0
50,50,high,30,0.005983142,0,0,0.0,0,0,false,0,0
50,51,high,10,0.010869827,3,3,0.0,0,0,false,0,0
50,51,high,20,0.008696546,3,3,0.0,0,0,false,0,0
50,51,high,30,0.007291815,3,3,0.0,0,0,false,0,0
50,52,low,10,0.00611994,0,0,0.0,0,0,false,0,0
50,52,low,20,0.00591917,0,0,0.0,0,0,false,0,0
50,52,low,30,0.006009433,0,0,0.0,0,0,false,0,0
50,52,high,10,0.00619238,0,0,0.0,0,0,false,0,0
50,52,high,20,0.005823672,0,0,0.0,0,0,false,0,0
50,52,high,30,0.006007655,0,0,0.0,0,0,false,0,0
50,53,low,10,0.007321612,2,2,0.0,0,0,false,0,0
50,53,low,20,0.018413583,2,2,0.0,0,0,false,0,0
50,53,low,30,0.01986373,2,2,0.0,0,0,false,0,0
50,53,high,10,0.006994482,2,2,0.0,0,0,false,0,0
50,53,high,20,0.006680213,2,2,0.0,0,0,false,0,0
50,53,high,30,0.019313483,2,2,0.0,0,0,false,0,0
50,54,low,30,0.006763492,2,2,0.0,0,0,false,0,0
50,54,high,30,0.007011432,2,2,0.0,0,0,false,0,0
50,55,low,10,0.00598169,0,0,0.0,0,0,false,0,0
50,55,low,20,0.005554615,0,0,0.0,0,0,false,0,0
50,55,low,30,0.005413494,0,0,0.0,0,0,false,0,0
50,55,high,10,0.006223821,0,0,0.0,0,0,false,0,0
50,55,high,20,0.00569111,0,0,0.0,0,0,false,0,0
50,55,high,30,0.005599944,0,0,0.0,0,0,false,0,0
50,56,low,20,0.007135094,2,2,0.0,0,0,false,0,0
50,56,low,30,0.006564612,2,2,0.0,0,0,false,0,0
50,56,high,10,0.006872212,2,2,0.0,0,0,false,0,0
50,56,high,20,0.006668214,2,2,0.0,0,0,false,0,0
50,56,high,30,0.006352363,2,2,0.0,0,0,false,0,0
50,57,low,10,0.008579413,2,2,0.0,0,0,false,0,0
50,57,low,20,0.007637533,2,2,0.0,0,0,false,0,0
50,57,low,30,0.007418554,2,2,0.0,0,0,false,0,0
50,58,low,10,0.006003023,0,0,0.0,0,0,false,0,0
50,58,low,20,0.006068235,0,0,0.0,0,0,false,0,0
50,58,low,30,0.006081034,0,0,0.0,0,0,false,0,0
50,58,high,10,0.006198835,0,0,0.0,0,0,false,0,0
50,58,high,20,0.005831173,0,0,0.0,0,0,false,0,0
50,58,high,30,0.005593502,0,0,0.0,0,0,false,0,0
50,59,low,10,0.006916086,1,1,0.0,0,0,false,0,0
50,59,low,20,0.006624186,1,1,0.0,0,0,false,0,0
50,59,low,30,0.006310801,1,1,0.0,0,0,false,0,0
50,59,high,10,0.00674431,1,1,0.0,0,0,false,0,0
50,59,high,20,0.006682534,1,1,0.0,0,0,false,0,0
50,59,high,30,0.006565018,1,1,0.0,0,0,false,0,0
50,60,low,10,0.007289985,1,1,0.0,0,0,false,0,0
50,60,low,20,0.007387327,1,1,0.0,0,0,false,0,0
50,60,low,30,0.018378617,1,1,0.0,0,0,false,0,0
50,60,high,10,0.007302847,1,1,0.0,0,0,false,0,0
50,60,high,20,0.007095443,1,1,0.0,0,0,false,0,0
50,60,high,30,0.005861127,1,1,0.0,0,0,false,0,0
50,61,low,10,0.006686145,1,1,0.0,0,0,false,0,0
50,61,low,20,0.020796734,1,1,0.0,0,0,false,0,0
50,61,low,30,0.009262711,1,1,0.0,0,0,false,0,0
50,61,high,10,0.020263868,1,1,0.0,0,0,false,0,0
50,61,high,20,0.006449288,1,1,0.0,0,0,false,0,0
50,61,high,30,0.006669267,1,1,0.0,0,0,false,0,0
50,62,low,10,0.008271196,1,1,0.0,0,0,false,0,0
50,62,low,20,0.007191196,1,1,0.0,0,0,false,0,0
50,62,low,30,0.006905989,1,1,0.0,0,0,false,0,0
50,62,high,10,0.008736233,1,1,0.0,0,0,false,0,0
50,62,high,20,0.006957978,1,1,0.0,0,0,false,0,0
50,62,high,30,0.007153297,1,1,0.0,0,0,false,0,0
50,63,low,10,0.008443443,2,2,0.0,0,0,false,0,0
50,63,low,20,0.02032501,2,2,0.0,0,0,false,0,0
50,63,low,30,0.006866997,2,2,0.0,0,0,false,0,0
50,63,high,10,0.008134117,2,2,0.0,0,0,false,0,0
50,63,high,20,0.007449656,2,2,0.0,0,0,false,0,0
50,63,high,30,0.007037297,2,2,0.0,0,0,false,0,0
50,64,low,10,0.006539642,0,0,0.0,0,0,false,0,0
50,64,low,20,0.006310224,0,0,0.0,0,0,false,0,0
50,64,low,30,0.006542366,0,0,0.0,0,0,false,0,0
50,64,high,10,0.006468113,0,0,0.0,0,0,false,0,0
50,64,high,20,0.006053528,0,0,0.0,0,0,false,0,0
50,64,high,30,0.005877219,0,0,0.0,0,0,false,0,0
50,65,low,10,0.006800006,0,0,0.0,0,0,false,0,0
50,65,low,20,0.006135468,0,0,0.0,0,0,false,0,0
50,65,low,30,0.005868227,0,0,0.0,0,0,false,0,0
50,65,high,10,0.006542366,0,0,0.0,0,0,false,0,0
50,65,high,20,0.006076116,0,0,0.0,0,0,false,0,0
50,65,high,30,0.006069899,0,0,0.0,0,0,false,0,0
50,66,low,10,0.00654687,0,0,0.0,0,0,false,0,0
50,66,low,20,0.005996851,0,0,0.0,0,0,false,0,0
50,66,low,30,0.005993796,0,0,0.0,0,0,false,0,0
50,66,high,10,0.006435556,0,0,0.0,0,0,false,0,0
50,66,high,20,0.006003524,0,0,0.0,0,0,false,0,0
50,66,high,30,0.005901383,0,0,0.0,0,0,false,0,0
50,67,low,10,0.006551498,0,0,0.0,0,0,false,0,0
50,67,low,20,0.005881723,0,0,0.0,0,0,false,0,0
50,67,low,30,0.005895633,0,0,0.0,0,0,false,0,0
50,67,high,10,0.007069465,0,0,0.0,0,0,false,0,0
50,67,high,20,0.005992349,0,0,0.0,0,0,false,0,0
50,67,high,30,0.005779917,0,0,0.0,0,0,false,0,0
50,68,low,10,0.006594089,0,0,0.0,0,0,false,0,0
50,68,low,20,0.006617385,0,0,0.0,0,0,false,0,0
50,68,low,30,0.00606856,0,0,0.0,0,0,false,0,0
50,68,high,10,0.006421497,0,0,0.0,0,0,false,0,0
50,68,high,20,0.006510274,0,0,0.0,0,0,false,0,0
50,68,high,30,0.005910404,0,0,0.0,0,0,false,0,0
50,69,low,10,0.030132231,1,1,0.0,0,0,false,0,0
50,69,low,20,0.006876857,1,1,0.0,0,0,false,0,0
50,69,low,30,0.006407679,1,1,0.0,0,0,false,0,0
50,69,high,10,0.007145248,1,1,0.0,0,0,false,0,0
50,69,high,20,0.006515041,1,1,0.0,0,0,false,0,0
50,69,high,30,0.006476113,1,1,0.0,0,0,false,0,0
50,70,low,10,0.007178142,3,3,0.0,0,0,false,0,0
50,70,low,20,0.007182332,3,3,0.0,0,0,false,0,0
50,70,low,30,0.007761269,3,3,0.0,0,0,false,0,0
50,70,high,10,0.008389205,3,3,0.0,0,0,false,0,0
50,70,high,20,0.008011382,3,3,0.0,0,0,false,0,0
50,70,high,30,0.008247555,3,3,0.0,0,0,false,0,0
50,71,low,10,0.008230526,1,1,0.0,0,0,false,0,0
50,71,low,20,0.00694631,1,1,0.0,0,0,false,0,0
