ntaxa,ngt,ils,nbp,m,r,imethod,gtee,hwcd,input_error,runtime_parallel,runtime_serial
100,1000,low,100,10,1,snaq,0.212216494845361,20,20,1829.78035569191,3501.33603858948
100,1000,low,100,10,1,squirrel,0.212216494845361,118,68,21.845397669822,22.8811713531613
100,1000,low,100,10,2,squirrel,0.23520618556701,128,92,19.4194191917777,21.0237327702343
100,1000,low,100,10,3,squirrel,0.242113402061856,144,94,18.9648585058749,20.1222370304167
100,1000,low,100,10,5,phylonet,0.233711340206186,12,16,544.469848095367,1591.29030309537
100,1000,low,100,10,5,snaq,0.233711340206186,16,18,563.994031906128,1880.81717801094
100,1000,low,100,10,7,phylonet,0.315567010309278,6,8,629.550087987152,1742.20075798715
100,1000,low,100,10,7,snaq,0.315567010309278,8,10,784.953123807907,1762.57682871819
100,1000,low,100,10,9,phylonet,0.207350515463917,30,28,177.361472834412,848.711695834412
100,1000,low,100,20,2,phylonet,0.212659793814433,16,30,8819.60659098459,22970.4363879846
100,1000,low,100,20,2,snaq,0.212659793814433,16,30,107169.96889782,173637.866925716
100,1000,low,100,20,3,snaq,0.225927835051546,38,44,7038.51184797287,30925.7985625267
100,1000,low,100,20,8,phylonet,0.222711340206185,20,20,8646.23096499174,14469.2140489917
100,1000,low,100,20,10,phylonet,0.207525773195876,12,26,5972.57920878488,24585.8958657849
100,1000,high,100,10,1,phylonet,0.612670103092784,140,30,395.629564107651,2389.78898010765
100,1000,high,100,10,1,squirrel,0.612670103092784,190,132,26.9820719622076,28.1585373692214
100,1000,high,100,10,2,squirrel,0.430628865979381,184,140,22.6763215176761,24.3220059499145
100,1000,high,100,10,3,snaq,0.416123711340206,128,68,671.029976129532,2734.7994799614
100,1000,high,100,10,3,squirrel,0.416123711340206,166,138,24.8187618665397,26.1054946817458
100,1000,high,100,10,5,phylonet,0.499175257731959,114,42,2416.42760695641,10246.4584479564
100,1000,high,100,10,7,snaq,0.488876288659793,36,30,553.251683712006,2551.5947406292
100,1000,high,100,10,9,phylonet,0.421113402061855,66,60,505.630891910141,2840.91165191014
100,1000,high,100,10,10,phylonet,0.407793814432989,26,32,638.042389880096,3637.3574418801
100,1000,high,100,10,10,snaq,0.407793814432989,28,34,623.159920215607,2515.35205316544
100,1000,high,100,20,2,phylonet,0.471144329896907,56,56,48864.8166550669,117879.438485067
100,1000,high,100,20,3,snaq,0.501226804123711,62,68,30979.1648669243,87204.4465997219
100,1000,high,100,20,6,phylonet,0.42041237113402,140,36,31360.9688219417,112120.987310942
100,1000,high,1000,10,1,squirrel,0.958762886597938,188,264,14.3488675169647,15.304855260998
100,1000,high,1000,10,2,squirrel,0.0651546391752578,178,114,26.5324414968491,28.6627449393272
100,1000,high,1000,10,3,phylonet,0.0755360824742268,70,42,5536.9769551581,9355.5129141581
100,1000,high,1000,10,3,snaq,0.0755360824742268,84,42,1604.63303208351,3255.04953718185
